event_id,target_name,ratio_type,C,R,P_acq,stock_val,spread,pi_cash,pi_cash_source,f_cash,deal_outcome_label
E000000_20171214_TFCF_Corp__Walt_Disney_Co_The,TFCF Corp,floating,38.0,,112.47,,,0.5,default_5050,,completed
E000001_20220526_VMware_Inc__Broadcom_Inc,VMware Inc,floating,142.5,,509.09,,,0.5,cash_cap,,completed
E000002_20091103_Burlington_Northern_Santa_Fe_LLC__Berkshire_Hathaway_Inc,Burlington Northern Santa Fe LLC,floating,100.0,,114000.0,,,0.6,cash_cap,0.4085,completed
E000003_20150528_Broadcom_Corp__Avago_Technologies_Ltd,Broadcom Corp,floating,54.5,,53.69,,,0.5,default_5050,0.306,completed
E000004_20180430_Andeavor__Marathon_Petroleum_Corp,Andeavor,floating,152.27,,79.55,,,0.5,default_5050,,completed
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,Johnson Controls Inc,fixed,34.88,1.0,35.77,35.77,-0.8900000000000006,0.5,default_5050,0.011,completed
E000006_20190624_Caesars_Holdings_Inc__Caesars_Entertainment_Inc,Caesars Holdings Inc,floating,12.41,,11.95,,,0.5,default_5050,,completed
E000007_20260419_TopBuild_Corp__QXO_Inc,TopBuild Corp,floating,505.0,,,,,0.45,cash_cap,,completed
E000008_20230412_Triton_International_Ltd_Bermuda__Brookfield_Infrastructure_Corp,Triton International Ltd/Bermuda,floating,68.5,,45.95,,,0.5,default_5050,,completed
E000009_20220504_Black_Knight_Inc__Intercontinental_Exchange_Inc,Black Knight Inc,floating,68.0,,100.94,,,0.5,default_5050,0.39,completed
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,NYSE Euronext,fixed,33.12,1.0,133.33,133.33,-100.21,0.5,default_5050,,completed
E000011_20090420_Pepsi_Bottling_Group_Inc_The__PepsiCo_Inc,Pepsi Bottling Group Inc/The,floating,36.5,,52.06,,,0.5,cash_cap,0.011,completed
E000012_20131023_Cole_Real_Estate_Investment_Inc__VEREIT_Inc,"Cole Real Estate Investments, Inc.",fixed,13.82,1.0929,13.95,15.245955,-1.4259549999999983,0.2,cash_cap,0.02,completed
E000013_20070216_BBVA_USA_Bancshares_Inc__Banco_Bilbao_Vizcaya_Argentaria_SA,"BBVA USA Bancshares Inc (Compass Bancshares, Inc.)",floating,71.82,,23.42,,,0.5,default_5050,,completed
E000014_20110616_Southern_Union_Co__Energy_Transfer_LP,Southern Union Co,fixed,44.25,1.0,44.26,44.26,-0.009999999999998,0.6,cash_cap,0.54,completed
E000015_20171030_CalAtlantic_Group_Inc_old__Lennar_Corp,CalAtlantic Group Inc/old,floating,48.26,,62.18,,,0.5,default_5050,0.2073,completed
E000016_20110720_Nalco_Holding_Co__Ecolab_Inc,Nalco Holding Co,fixed,38.8,0.7005,44.53,31.193265,7.606734999999997,0.3,cash_cap,,completed
E000017_20211214_Terminix_Global_Holdings_Inc__Rentokil_Initial_PLC,Terminix Global Holdings Inc,fixed,11.0,1.0619,,,,0.5,default_5050,0.318,completed
E000018_20080317_NYMEX_Holdings_Inc__CME_Group_Inc,NYMEX Holdings Inc,floating,36.0,,496.89999,,,0.5,default_5050,0.2937,completed
E000020_20230306_Energy_Harbor_Corp__Vistra_Corp,Energy Harbor Corp,fixed,,,,,,0.5,default_5050,,completed
E000021_20080612_Applied_Biosystems_Inc__Life_Technologies_Corp,Applied Biosystems Inc,fixed,38.0,0.8261,21.75,17.967675,20.032325,0.5,default_5050,,completed
E000022_20140713_URS_Corp__AECOM,URS Corp,fixed,33.0,0.734,35.08,25.74872,7.251280000000001,0.5900000000000001,stock_cap,,completed
E000023_20070501_Dow_Jones___Co_Inc__TFCF_Corp,Dow Jones & Co Inc,floating,60.0,,20.8,,,0.9,stock_cap,,completed
E000024_20161117_Western_Refining_Inc__Andeavor,Western Refining Inc,fixed,37.3,0.435,84.0,36.54,0.759999999999998,0.5,default_5050,,completed
E000025_20061006_Global_Signal_Inc__Crown_Castle_Inc,Global Signal Inc,floating,55.95,,33.45,,,0.5,default_5050,0.973,completed
E000026_20180502_MTGE_Investment_Corp__Annaly_Capital_Management_Inc,MTGE Investment Corp,fixed,19.65,0.9519,10.44,9.937836,9.712164,0.5,cash_cap,0.1577,completed
E000027_20150122_City_National_Corp_CA__Royal_Bank_of_Canada,City National Corp/CA,floating,93.8,,60.59,,,0.5,cash_cap,,completed
E000028_20190402_AmeriGas_Partners_LP__UGI_Corp,AmeriGas Partners LP,fixed,35.325,0.6378,53.93,34.396554,0.928446000000001,0.5,default_5050,,completed
E000029_20120827_Hudson_City_Bancorp_Inc__M_T_Bank_Corp,Hudson City Bancorp Inc,floating,10.0,,94.03,,,0.4,cash_cap,,completed
E000030_20180906_LaSalle_Hotel_Properties__Pebblebrook_Hotel_Trust,LaSalle Hotel Properties,floating,37.8,,33.61,,,0.3,cash_cap,0.77,completed
E000031_20180129_KapStone_Paper_and_Packaging_Corp__Westrock_Co,KapStone Paper and Packaging Corp,floating,35.0,,65.76,,,0.75,stock_cap,0.968,completed
E000032_20170307_TerraForm_Power_Inc__Brookfield_Corp,TerraForm Power Inc,fixed,9.52,,13.41,,,0.49,cash_cap,,completed
E000033_20250515_Foot_Locker_Inc__Dick_s_Sporting_Goods_Inc,Foot Locker Inc,floating,24.0,,,,,0.5,default_5050,0.012,completed
E000034_20070219_Florida_Rock_Industries_Inc__Vulcan_Materials_Co,Florida Rock Industries Inc,fixed,67.0,0.63,119.79,75.46770000000001,-8.467700000000008,0.7,cash_cap,0.857,completed
E000036_20260224_Thermon_Group_Holdings_Inc__CECO_Environmental_Corp,Thermon Group Holdings Inc,fixed,63.89,0.811,,,,0.5,default_5050,,completed
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,PepsiAmericas Inc,fixed,28.5,0.5022,52.06,26.144532,2.3554679999999983,0.5,cash_cap,0.033,completed
E000038_20100415_Mariner_Energy_Inc__Apache_Corp,Mariner Energy Inc,fixed,26.0,0.24347,94.28,22.9543516,3.045648400000001,0.5,default_5050,,completed
E000039_20070604_Solectron_Corp__Flex_Ltd,Solectron Corp,floating,3.89,,11.18,,,0.5,cash_cap,0.089,completed
E000040_20170504_Capital_Bank_Financial_Corp__First_Horizon_Corp,Capital Bank Financial Corp,fixed,7.9,2.1732,17.08,37.118255999999995,-29.218255999999997,0.5,default_5050,,completed
E000041_20181009_Antero_Midstream_Partners_LP__Antero_Midstream_Corp,Antero Midstream Partners LP,fixed,3.415,1.635,28.19,46.09065,-42.675650000000005,0.5,default_5050,0.22,completed
E000042_20140113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,Foster Wheeler AG,fixed,16.0,0.8998,31.08,27.965784,-11.965784,0.5,default_5050,0.9372,completed
E000043_20181109_Finisar_Corp__Coherent_Corp,Finisar Corp,floating,26.0,,119.71,,,0.6,cash_cap,,completed
E000044_20060905_Veritas_DGC_Inc__Viridien,Veritas DGC Inc,fixed,75.0,3.0,,,,0.4933599999999999,cash_cap,,completed
E000045_20200207_FGL_Holdings__Fidelity_National_Financial_Inc,FGL Holdings,floating,12.5,,43.13,,,0.5,default_5050,,completed
E000046_20140321_LIN_Media_LLC__Media_General_Inc,LIN Media LLC,fixed,25.97,1.4714,15.51,22.821414,3.148585999999998,0.5,default_5050,,completed
E000047_20140602_American_Realty_Capital_Healthcare_Trust_Inc__Ventas_Inc,American Realty Capital Healthcare Trust Inc,fixed,11.33,0.1688,64.07,10.815016,0.5149840000000001,0.1,cash_cap,,completed
E000048_20071207_Rovi_Guides_Inc__Rovi_Corp,Rovi Guides Inc,fixed,6.35,0.2548,15.73,4.008004000000001,2.341995999999999,0.56,stock_cap,,completed
E000049_20140911_Conversant_Inc__Bread_Financial_Holdings_Inc,Conversant Inc,floating,35.0,,278.32001,,,0.6,stock_cap,,completed
E000050_20140917_Auxilium_Pharmaceuticals_LLC__Endo_International_PLC,"Auxilium Pharmaceuticals, Inc.",fixed,33.25,0.488,81.64,39.84032,-6.590319999999998,0.5,default_5050,0.004,completed
E000051_20140312_EPL_Oil___Gas_Inc__Energy_XXI_Ltd,EPL Oil & Gas Inc,fixed,39.0,0.584,21.45,12.526799999999998,26.4732,0.65,cash_cap,0.757,completed
E000052_20240628_Infinera_Corp__Nokia_Oyj,Infinera Corp,fixed,6.65,1.7896,3.84,6.872064,-0.2220639999999996,0.7,stock_cap,0.28,completed
E000053_20140428_Susser_Holdings_Corp__ETP_Legacy_LP,Susser Holdings Corp,floating,80.25,,28.95,,,0.5,default_5050,0.0121,completed
E000054_20240229_Sterling_Check_Corp__First_Advantage_Corp,Sterling Check Corp,fixed,16.73,0.979,16.22,15.87938,0.850620000000001,0.72,cash_cap,0.5842,completed
E000055_20240516_SilverBow_Resources_Inc__Crescent_Energy_Co,SilverBow Resources Inc,floating,38.0,,11.9,,,0.5,default_5050,,completed
E000056_20080609_Hilb_Rogal___Hobbs_Co__Willis_Towers_Watson_PLC,Hilb Rogal & Hobbs Co,floating,46.0,,34.93,,,0.801,stock_cap,,completed
E000057_20250806_Aris_Water_Solution_Inc__Western_Midstream_Partners_LP,Aris Water Solutions Inc,floating,25.0,,,,,0.5,default_5050,0.5760000000000001,completed
E000058_20160919_Isle_of_Capri_Casinos_Inc__Caesars_Entertainment_Inc,Isle of Capri Casinos Inc,fixed,23.0,1.638,19.15,31.367699999999996,-8.367699999999996,0.58,cash_cap,0.166,completed
E000059_20100118_Brink_s_Home_Security_Holdings_Inc__Johnson_Controls_International_plc,Brink's Home Security Holdings Inc,floating,42.5,,29.08,,,0.5,default_5050,0.812,completed
E000060_20070627_Chittenden_Corp__People_s_United_Financial_Inc,Chittenden Corp,fixed,20.35,0.8775,16.52,14.496299999999998,5.8537000000000035,0.5,default_5050,0.411,completed
E000061_20150817_National_Penn_Bancshares_Inc__Truist_Financial_Corp,National Penn Bancshares Inc,fixed,13.0,0.3206,33.53,10.749718,2.2502820000000003,0.3,cash_cap,0.7579,completed
E000062_20070129_First_Republic_Bank_Old__Merrill_Lynch___Co_Inc,First Republic Bank/Old,fixed,,0.8595,83.68,71.92296,,0.5,default_5050,,completed
E000063_20160411_Hatteras_Financial_Corp__Annaly_Capital_Management_Inc,Hatteras Financial Corp,fixed,5.55,0.9894,11.04,10.922975999999998,-5.372975999999999,0.35,cash_cap,,completed
E000064_20180213_Nationstar_Mortgage_Holdings_Inc__Mr_Cooper_Group_Inc,Nationstar Mortgage Holdings Inc,floating,18.0,,1.36,,,0.5,default_5050,,completed
E000065_20101217_Cumulus_Intermediate_Holdings_LLC__Cumulus_Media_Inc,Cumulus Intermediate Holdings LLC,fixed,37.0,,,,,0.5,default_5050,,completed
E000066_20121108_KAYAK_Software_Corp__Booking_Holdings_Inc,KAYAK Software Corp,floating,40.0,,678.48999,,,0.33,cash_cap,,completed
E000067_20070906_Alabama_National_Bancorporation__Royal_Bank_of_Canada,Alabama National Bancorporation,floating,80.0,,56.88,,,0.5,cash_cap,,completed
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,Resolute Energy Corp,fixed,35.0,0.3943,63.76,25.140568,9.859432000000002,0.5,default_5050,,completed
E000069_20100819_NewAlliance_Bancshares_Inc__First_Niagara_Financial_Group_Inc,NewAlliance Bancshares Inc,fixed,14.28,1.1,11.38,12.518000000000002,1.761999999999997,0.14,cash_cap,0.08,completed
E000070_20070603_Digene_Corp__QIAGEN_NV,Digene Corp,fixed,61.25,3.545,18.09,64.12904999999999,-2.8790499999999923,0.55,cash_cap,,completed
