categorical_alpha,prior_strength,variance_shrinkage,likelihood_weight,prior_blend,validation_rows,validation_years,multiclass_brier_score
0.5,25.0,0.5,1.0,0.75,250,"2022,2023,2024,2025,2026",0.3329445317234491
0.5,25.0,0.9,1.0,0.75,250,"2022,2023,2024,2025,2026",0.33323245000558854
0.5,25.0,0.9,0.5,0.5,250,"2022,2023,2024,2025,2026",0.33534644203732755
0.5,25.0,0.5,0.5,0.5,250,"2022,2023,2024,2025,2026",0.33558785749638725
0.5,25.0,0.9,0.25,0.0,250,"2022,2023,2024,2025,2026",0.33691088686962656
2.0,25.0,0.9,1.0,0.75,250,"2022,2023,2024,2025,2026",0.33812968504191615
2.0,25.0,0.5,1.0,0.75,250,"2022,2023,2024,2025,2026",0.33818037076832097
2.0,25.0,0.9,0.5,0.5,250,"2022,2023,2024,2025,2026",0.33906977976802993
0.5,25.0,0.5,1.0,0.9,250,"2022,2023,2024,2025,2026",0.3392964361745223
2.0,25.0,0.5,0.5,0.5,250,"2022,2023,2024,2025,2026",0.33951184762138026
0.5,25.0,0.9,1.0,0.9,250,"2022,2023,2024,2025,2026",0.33959538035153775
0.5,25.0,0.5,0.5,0.75,250,"2022,2023,2024,2025,2026",0.34008137524451443
0.5,25.0,0.9,0.5,0.75,250,"2022,2023,2024,2025,2026",0.34013629246065735
0.5,25.0,0.5,0.25,0.5,250,"2022,2023,2024,2025,2026",0.341729939109928
0.5,25.0,0.9,0.25,0.5,250,"2022,2023,2024,2025,2026",0.3417776440087916
2.0,25.0,0.5,1.0,0.9,250,"2022,2023,2024,2025,2026",0.34199749473113683
2.0,100.0,0.9,0.5,0.75,250,"2022,2023,2024,2025,2026",0.34211278760943287
2.0,25.0,0.9,1.0,0.9,250,"2022,2023,2024,2025,2026",0.3421498323420299
2.0,25.0,0.9,0.5,0.75,250,"2022,2023,2024,2025,2026",0.34231627228362205
2.0,1.0,0.9,0.5,0.75,250,"2022,2023,2024,2025,2026",0.34238905157789423
2.0,25.0,0.5,0.5,0.75,250,"2022,2023,2024,2025,2026",0.3424041776809965
2.0,25.0,0.9,0.25,0.5,250,"2022,2023,2024,2025,2026",0.3432279747544978
2.0,25.0,0.5,0.25,0.5,250,"2022,2023,2024,2025,2026",0.34323364135246676
0.5,25.0,0.9,0.1,0.0,250,"2022,2023,2024,2025,2026",0.343720940910581
0.5,25.0,0.5,1.0,0.95,250,"2022,2023,2024,2025,2026",0.3438358700137187
0.5,25.0,0.9,1.0,0.95,250,"2022,2023,2024,2025,2026",0.3440159715795869
0.5,25.0,0.5,0.5,0.9,250,"2022,2023,2024,2025,2026",0.34518299487164383
0.5,25.0,0.9,0.5,0.9,250,"2022,2023,2024,2025,2026",0.3452471117450623
0.5,25.0,0.5,0.25,0.75,250,"2022,2023,2024,2025,2026",0.3452610970610672
2.0,25.0,0.5,1.0,0.95,250,"2022,2023,2024,2025,2026",0.34528751978180394
0.5,25.0,0.9,0.25,0.75,250,"2022,2023,2024,2025,2026",0.3453142609093909
2.0,25.0,0.9,1.0,0.95,250,"2022,2023,2024,2025,2026",0.3453924572374932
0.5,25.0,0.9,1.0,0.5,250,"2022,2023,2024,2025,2026",0.34562371055632873
2.0,25.0,0.5,0.25,0.75,250,"2022,2023,2024,2025,2026",0.34600338342733644
2.0,25.0,0.9,0.25,0.75,250,"2022,2023,2024,2025,2026",0.34602285931773846
2.0,25.0,0.9,0.5,0.9,250,"2022,2023,2024,2025,2026",0.3461954983040755
2.0,25.0,0.5,0.5,0.9,250,"2022,2023,2024,2025,2026",0.3461987096159928
0.5,25.0,0.5,1.0,0.5,250,"2022,2023,2024,2025,2026",0.3465793478600481
0.5,25.0,0.5,0.5,0.95,250,"2022,2023,2024,2025,2026",0.3472844529103953
0.5,25.0,0.9,0.5,0.95,250,"2022,2023,2024,2025,2026",0.3473235363449315
0.5,25.0,0.5,0.25,0.9,250,"2022,2023,2024,2025,2026",0.3477609670406128
0.5,25.0,0.9,0.25,0.9,250,"2022,2023,2024,2025,2026",0.34778926731567616
2.0,25.0,0.5,0.5,0.95,250,"2022,2023,2024,2025,2026",0.3478067425775296
2.0,25.0,0.9,0.5,0.95,250,"2022,2023,2024,2025,2026",0.347810462062743
2.0,25.0,0.5,0.25,0.9,250,"2022,2023,2024,2025,2026",0.34805558604591935
2.0,25.0,0.9,0.25,0.9,250,"2022,2023,2024,2025,2026",0.34806873060753346
0.5,25.0,0.5,0.25,0.95,250,"2022,2023,2024,2025,2026",0.3486577862352713
0.5,25.0,0.9,0.25,0.95,250,"2022,2023,2024,2025,2026",0.3486731088287587
2.0,25.0,0.5,0.25,0.95,250,"2022,2023,2024,2025,2026",0.348804713147725
2.0,25.0,0.9,0.25,0.95,250,"2022,2023,2024,2025,2026",0.34881217779610757
2.0,25.0,0.9,1.0,0.5,250,"2022,2023,2024,2025,2026",0.3504551974959781
2.0,25.0,0.5,1.0,0.5,250,"2022,2023,2024,2025,2026",0.35199500146091034
