metric,value
tuned_nb_multiclass_brier_score,0.30747485510162215
untuned_nb_multiclass_brier_score,0.45821096238064574
prior_brier_score,0.3170440676070348
tuned_nb_brier_skill_score,0.030182594418619924
untuned_nb_brier_skill_score,-0.4452595370703558
tuned_nb_negative_log_likelihood,0.5957487110783265
untuned_nb_negative_log_likelihood,0.9520977153654037
prior_negative_log_likelihood,0.6558595870065979
tuned_nb_balanced_accuracy,0.459575037042882
untuned_nb_balanced_accuracy,0.4109436509815268
tuned_nb_macro_f1,0.41213941510310176
untuned_nb_macro_f1,0.3861189548148014
tuned_nb_plain_argmax_balanced_accuracy,0.33233383308345826
untuned_nb_plain_argmax_balanced_accuracy,0.4142775103676232
tuned_nb_plain_argmax_macro_f1,0.30015797788309634
untuned_nb_plain_argmax_macro_f1,0.39914619576303295
