outer_test_year,outer_train_rows,categorical_alpha,prior_strength,variance_shrinkage,likelihood_weight,prior_blend,inner_validation_years,inner_validation_rows,inner_validation_brier_score,decision_prior_power,decision_inner_macro_f1,decision_inner_balanced_accuracy
2016,1185,0.5,25.0,0.5,1.0,0.5,2015,152,0.36935177998668006,0.5,0.4396992481203008,0.45852311939268464
2017,1298,0.5,25.0,0.5,1.0,0.5,"2015,2016",265,0.34176874158037623,0.5,0.431538616656584,0.4406996797240699
2018,1403,0.5,25.0,0.5,1.0,0.5,"2015,2016,2017",370,0.3235933478073978,0.5,0.45964071681341595,0.47894207778265746
2019,1497,0.5,25.0,0.5,1.0,0.75,"2015,2016,2017,2018",464,0.3123183361840501,0.7,0.43663530878799967,0.46286472148541113
2020,1568,0.5,25.0,0.5,1.0,0.75,"2015,2016,2017,2018,2019",535,0.30466916527268506,0.7,0.4295320149788098,0.45611177745512704
2021,1631,0.5,25.0,0.5,1.0,0.75,"2016,2017,2018,2019,2020",446,0.2894987134508364,0.8,0.4130830840533324,0.4776354627872655
2022,1747,0.5,25.0,0.5,1.0,0.75,"2017,2018,2019,2020,2021",449,0.2919895571137897,0.8,0.4034143064165212,0.4648887634636189
2023,1807,0.5,25.0,0.5,1.0,0.75,"2018,2019,2020,2021,2022",404,0.302445596797706,0.8,0.38835929984998313,0.4535106535106535
2024,1858,0.5,25.0,0.5,1.0,0.75,"2019,2020,2021,2022,2023",361,0.3406629961425475,0.8,0.36470214568040654,0.4193228366615464
2025,1915,0.5,25.0,0.5,1.0,0.75,"2020,2021,2022,2023,2024",347,0.3616378271186215,0.5,0.36384908573358415,0.3850777144135078
2026,1984,0.5,25.0,0.5,1.0,0.75,"2021,2022,2023,2024,2025",353,0.32281443908041096,0.5,0.3631049413433544,0.38903508771929823
