event_id,target_shares_outstanding,target_adv20,target_dollar_adv20,target_market_cap,passive_control_percent,etf_ownership_percent,active_share,passive_pct,default_rule,non_election_default_rule,short_volume_ratio_20d_avg,announce_date,active_cash_election_rate,realized_cash_share,pct_elected_cash,spread,deal_spread,cash_election_value,stock_election_value,holder_model_source,holder_rolling_event_index,holder_fit_n,holder_fit_sse,holder_fit_loglike,holder_p_hat,holder_q_hat,holder_positive_share,holder_positive_share_of_active,holder_noisy_share,holder_noisy_cash_prob,holder_predicted_cash_demand_share,holder_predicted_stock_demand_share,holder_rational_action,holder_structural_status,holder_structural_block_reason
E000000_20171214_TFCF_Corp__Walt_Disney_Co_The,,,,,0.0,0.0,1.0,0.0,,"Shares for which no valid election is made ('no election shares') are not automatically deemed cash or stock; instead they receive cash consideration, stock consideration, or a combination of both, depending on the elections made by other 21CF stockholders and the proration/reallocation mechanics needed to hit the $35.7 billion cash cap.",,12/14/2017,,,,-12602.362399999998,,38.0,12640.362399999998,rolling_structural_fit,221,27,2.7826486941712094,-7.633486469700073,0.3,0.0,0.0,0.0,1.0,0.3,,,,blocked,"missing_inputs:entry_target_price,cash_cap,stock_cap"
E000001_20220526_VMware_Inc__Broadcom_Inc,421056000.0,2929678.55,331803711.439,52362524160.0,0.0582411526495288,0.0582411526495288,0.9417588473504712,0.0582411526495288,,"Shares for which no valid election was made by the election deadline are treated as 'non-election' shares and are converted into cash or stock consideration according to the allocation procedures in the merger agreement; generally, non-election shares are allocated the undersubscribed form of consideration first.",,5/26/2022,,,,3.733687559999993,18.14,142.5,138.76631244,rolling_structural_fit,268,31,2.898145446878891,-7.345509047126118,0.1,0.2,0.2,0.21236859155895027,0.7417588473504713,0.1,0.30329646105981156,0.6967035389401885,cash,ok,
E000002_20091103_Burlington_Northern_Santa_Fe_LLC__Berkshire_Hathaway_Inc,340435000.0,5379410.0,480601120.95,33022195000.0,0.0076287220761672,0.0076287220761672,0.9923712779238328,0.0076287220761672,,"Shares for which no valid election is made (or election form not timely received) are deemed 'no election.' If Class A average trading value is within the collar, no-election shares receive cash or stock as necessary to achieve the 60/40 cash-stock split. If Class A average trading value is outside the collar, no-election shares are deemed to have elected whichever form of consideration has the higher value, subject to proration/reallocation to achieve the 60/40 split.",,11/3/2009,0.4077966059321773,0.4085,40.85,,3.0,100.0,,rolling_structural_fit,77,20,2.379996654027768,-7.09243874667064,0.2,0.0,0.0,0.0,0.9923712779238328,0.2,,,,blocked,missing_inputs:stock_value
E000003_20150528_Broadcom_Corp__Avago_Technologies_Ltd,552968000.0,13066856.25,681061239.31025,31104450000.0,0.1038457933370466,0.1038457933370466,0.8961542066629534,0.1038457933370466,cash,"Broadcom common shares for which no valid election form was received by the exchange agent by the election deadline are deemed 'cash electing shares' and receive $54.50 cash per share, subject to proration.",,5/28/2015,0.2255797106791736,0.306,30.6,30.74935,-1.75,54.5,23.75065,rolling_structural_fit,168,29,4.075655662495209,-12.696386599698277,0.3,0.0,0.0,0.0,0.8961542066629534,0.3,0.37269205533593264,0.6273079446640674,exit,ok,
E000004_20180430_Andeavor__Marathon_Petroleum_Corp,151122000.0,2533588.5,305167976.7277385,20903196551.22,0.1769918974735644,0.1769918974735644,0.8230081025264356,0.1769918974735644,stock,"Shares with no election, an untimely election, or an ineffective form of election (or a validly revoked election without a new valid submission) are deemed to have made a stock election.",,4/30/2018,,,,12.188299999999998,13.949990000000014,152.27,140.0817,rolling_structural_fit,225,28,3.1662062845819627,-9.214893405018747,0.3,0.1,0.1,0.12150548663254251,0.7230081025264357,0.3,0.3169024307579307,0.6830975692420693,cash,ok,
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,647908000.0,6009642.45,214290777.6555,22164932680.0,0.1253067401235978,0.1253067401235978,0.8746932598764022,0.1253067401235978,stock,"Shares for which no election (or an invalid/untimely election) is made are deemed to be 'share electing shares' and receive the share consideration, subject to the same proration procedures as shares that affirmatively elected stock.",,1/25/2016,0.0125758371586793,0.011,1.1,0.6700000000000017,0.6700000000000017,34.88,34.21,rolling_structural_fit,185,27,3.5451516468403823,-10.902885351447164,0.4,0.0,0.0,0.0,0.8746932598764022,0.4,0.34987730395056094,0.6501226960494391,cash,ok,
E000006_20190624_Caesars_Holdings_Inc__Caesars_Entertainment_Inc,672719000.0,24695657.7,254864517.16049996,7695905360.0,0.1565415634165231,0.1565415634165231,0.843458436583477,0.1565415634165231,,"Shares for which no valid election was made ('No Election Shares') were deemed non-electing and had no control over consideration type; treatment depended on which consideration type was oversubscribed/undersubscribed (in the actual event, No Election Shares were treated as Cash Election Shares since stock was oversubscribed).",,6/24/2019,,,,11.381544,0.9700000000000006,12.41,1.0284559999999998,rolling_structural_fit,237,29,2.993506619577287,-8.221887427249353,0.2,0.1,0.1,0.1185594875368859,0.743458436583477,0.2,0.32696246902495696,0.6730375309750432,cash,ok,
E000007_20260419_TopBuild_Corp__QXO_Inc,,,,,0.0,0.0,1.0,0.0,,"TopBuild shares for which no valid cash or stock election has been affirmatively made and not revoked by the election deadline ('No Election Shares') are deemed to have elected the Stock Consideration (20.200 QXO shares per share), subject to proration.",,4/19/2026,,,,,,505.0,,rolling_structural_fit,292,32,2.9812594447296417,-7.524546350929647,0.2,0.1,0.1,0.1,0.9,0.2,,,,blocked,"missing_inputs:stock_value,entry_target_price"
E000008_20230412_Triton_International_Ltd_Bermuda__Brookfield_Infrastructure_Corp,56364000.0,1023288.2,76518739.0715,4697375760.0,0.2627798062593144,0.2627798062593144,0.7372201937406856,0.2627798062593144,mixed,"Holders who fail to make an election, make an untimely election, or submit an invalid election ('non-electing holders') are deemed to have elected the form of consideration (or mix thereof) remaining after satisfaction of the elections of other holders of common shares. In the cash-oversubscription proration scenario, all BIPC share election shares AND non-election shares are converted into the right to receive the per-share BIPC share consideration.",,4/12/2023,,,,-6.451705999999987,-14.840000000000003,68.5,74.95170599999999,rolling_structural_fit,273,32,2.8829811396798033,-6.994077048693992,0.1,0.2,0.2,0.27128936740757437,0.5372201937406855,0.1,,,,blocked,"missing_inputs:cash_cap,stock_cap"
E000009_20220504_Black_Knight_Inc__Intercontinental_Exchange_Inc,155283000.0,1792949.35,122751770.284,11310813720.0,0.1414588139075108,0.1414588139075108,0.8585411860924892,0.1414588139075108,mixed,"Shares for which no valid election is made by the election deadline become 'non-election shares' and are allocated to whichever form of consideration (cash or stock) is undersubscribed, before oversubscribed electing shares are prorated into that undersubscribed form. Non-electing holders may receive all cash, all stock, or a mix, depending on remaining pools.",,5/4/2022,0.3718756865926874,0.39,39.0,-1030.6,1025.76,68.0,1098.6,rolling_structural_fit,266,30,3.015348037389662,-8.18533021158145,0.2,0.1,0.1,0.1164766485521024,0.7585411860924892,0.2,0.22243764417225326,0.7775623558277468,stock,ok,
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,243000000.0,6803715.0,197114592.15,7836750000.0,0.040707760781893,0.040707760781893,0.959292239218107,0.040707760781893,,"NYSE Euronext stockholders who do not make a valid, timely election (or whose election form is not properly received by the election deadline) are deemed to have elected the Standard Election Amount (0.1703 ICE Group shares + $11.27 cash per share).",,12/20/2012,,,,-96.98001,97.85001,33.12,130.10001,rolling_structural_fit,120,34,4.677481841868535,-14.522699461901956,0.3,0.0,0.0,0.0,0.959292239218107,0.3,,,,blocked,"missing_inputs:cash_cap,stock_cap"
