event_id,target,signal,selected_strategy,capacity_status,capacity_optimal_notional,capacity_optimal_expected_pnl,capacity_optimal_E_return_%,capacity_optimal_pct_shares_outstanding,capacity_optimal_binding_constraint,capacity_raw_max_notional,capacity_alpha_decay_%,capacity_optimal_cash_demand_shift_pctpts,self_impact_can_eliminate_arbitrage,self_impact_break_even_pct_shares_outstanding
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,Johnson Controls Inc,REVERSE,SHORT_TARGET_PASSIVE,ok,210397582.1745,10207062.0449,4.8513,0.9275,noisy_buyer_demand,210397582.1745,0.0,0.371,0,
E000075_20200806_Sirius_International_Insurance_Group_Ltd__SiriusPoint_Ltd,Sirius International Insur,REVERSE,SHORT_TARGET_PASSIVE,ok,35214939.637,9917379.9009,28.1624,0.4591,noisy_buyer_demand,35214939.637,0.0,-0.1377,0,
E000024_20161117_Western_Refining_Inc__Andeavor,Western Refining Inc,REVERSE,SHORT_TARGET_PASSIVE,ok,152907567.096,8017702.585,5.2435,3.719,noisy_buyer_demand,152907567.096,0.0,0.5677,0,
E000174_20141113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,Foster Wheeler AG,REVERSE,SHORT_TARGET_PASSIVE,ok,26689580.568,1779614.9604,6.6678,0.8815,noisy_buyer_demand,26689580.568,0.0,-0.0881,0,
E000028_20190402_AmeriGas_Partners_LP__UGI_Corp,AmeriGas Partners LP,REVERSE,SHORT_TARGET_PASSIVE,ok,25072300.252,1466677.2749,5.8498,0.7645,noisy_buyer_demand,25072300.252,0.0,-0.1285,0,
E000046_20140321_LIN_Media_LLC__Media_General_Inc,LIN Media LLC,REVERSE,SHORT_TARGET_PASSIVE,ok,24945732.912,1458109.6703,5.8451,2.7723,noisy_buyer_demand,24945732.912,0.0,-0.0225,0,
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,PepsiAmericas Inc,ENTER,LONG_TARGET_ELECTION,ok,18515498.1318,1364925.1796,7.3718,0.6011,source_supply,18515498.1318,-0.0452,0.4162,0,
E000078_20201005_Eidos_Therapeutics_Inc__Bridgebio_Pharma_Inc,Eidos Therapeutics Inc,REVERSE,SHORT_TARGET_PASSIVE,ok,17189831.425,1269232.2335,7.3836,0.5959,noisy_buyer_demand,17189831.425,0.0,0.1192,0,
E000083_20120723_GeoEye_Inc__DigitalGlobe_Inc,GeoEye Inc,REVERSE,SHORT_TARGET_PASSIVE,ok,11773587.83,1174117.5043,9.9725,2.1192,noisy_buyer_demand,11773587.83,0.0,-0.2831,0,
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,Resolute Energy Corp,REVERSE,SHORT_TARGET_PASSIVE,ok,28587165.007,1131283.2752,3.9573,3.6705,noisy_buyer_demand,28587165.007,0.0,-0.7018,0,
E000070_20070603_Digene_Corp__QIAGEN_NV,Digene Corp,ENTER,LONG_TARGET_ELECTION,ok,25668799.8325,682025.4935,2.657,1.8691,source_supply,25668799.8325,0.024,0.9026,0,
E000072_20070214_TALX_Corp__Equifax_Inc,TALX Corp,REVERSE,SHORT_TARGET_PASSIVE,ok,10059587.0375,615209.4521,6.1157,0.8937,noisy_buyer_demand,10059587.0375,0.0,0.001,0,
E000100_20110726_S1_Corp__ACI_Worldwide_Inc,S1 Corp,ENTER,LONG_TARGET_ELECTION,ok,19657109.7974,482405.1083,2.4541,3.9028,source_supply,19657109.7974,0.1288,-1.2166,0,
E000061_20150817_National_Penn_Bancshares_Inc__Truist_Financial_Corp,National Penn Bancshares I,ENTER,LONG_TARGET_ELECTION,ok,11786776.3502,260952.1626,2.2139,0.7173,source_supply,11786776.3502,-0.17,0.4495,1,48.5
E000122_20070720_Oak_Hill_Financial_Inc__WesBanco_Inc,Oak Hill Financial Inc,ENTER,LONG_TARGET_ELECTION,ok,635247.361,43587.9522,6.8616,0.4023,source_supply,635247.361,0.1105,0.2816,1,59.0
E000103_20210729_Misonix_Inc__Bioventus_Inc,Misonix Inc,ENTER,LONG_TARGET_ELECTION,ok,1946932.0464,19629.7513,1.0082,0.427,source_supply,1946932.0464,0.1198,0.2171,1,35.0
E000249_20240307_Superior_Drilling_Products_Inc__Drilling_Tools_International_Corp,Superior Drilling Products,ENTER,LONG_TARGET_ELECTION,ok,114338.5944,7846.1572,6.8622,0.429,source_supply,114338.5944,0.3481,0.3378,0,
E000150_20140805_Peoples_Federal_Bancshares_Inc__Independent_Bank_Corp,Peoples Federal Bancshares,ENTER,LONG_TARGET_ELECTION,ok,191908.332,2024.6777,1.055,0.1566,source_supply,191908.332,-0.0515,0.0939,1,40.0
E000184_20160426_First_Clover_Leaf_Financial_Corp__First_Mid_Bancshares_Inc,First Clover Leaf Financia,ENTER,LONG_TARGET_ELECTION,ok,36317.936,1182.6186,3.2563,0.0442,source_supply,36317.936,0.0093,0.0324,0,
E000259_20120503_Alliance_Bankshares_Corp__WashingtonFirst_Bankshares_Inc,Alliance Bankshares Corp,ENTER,LONG_TARGET_ELECTION,ok,4288.275,458.385,10.6893,0.0186,source_supply,4288.275,-0.0695,0.0131,0,
