event_id,target,signal,signal_reason,selected_strategy,elect,M,fair_value,risk_adjusted_fair_value,arb_return_%,E_return_%,decision_metric,decision_value_%,downside_5%_%,cvar_5%_%,loss_probability_%,long_fair_value,long_E_return_%,long_downside_5%_%,long_loss_probability_%,reverse_settlement_value,reverse_completion_return_%,reverse_E_return_%,reverse_downside_5%_%,reverse_loss_probability_%,p_completed,p_terminated,p_withdrawn,outcome_probability_source,terminated_return_%,withdrawn_return_%,terminated_value,withdrawn_value,hedge_side,hedge_ratio,long_hedge_ratio_short_acquirer,reverse_hedge_ratio_long_acquirer,size_x,actual_outcome,realized_return_source,realized_return_%,capacity_status,capacity_flow_model,capacity_binding_constraint,capacity_source_mix,capacity_raw_max_binding_constraint,capacity_raw_max_notional,capacity_raw_max_pct_shares_outstanding,capacity_raw_max_shares,capacity_max_binding_constraint,capacity_max_source_mix,capacity_max_seller_cash_prob,capacity_max_own_cash_prob,capacity_max_lender_cash_prob,capacity_max_buyer_cash_prob,capacity_max_shares,capacity_max_notional,capacity_max_pct_shares_outstanding,capacity_max_E_return_%,capacity_max_downside_5%_%,capacity_max_loss_probability_%,capacity_max_expected_pnl,capacity_max_cash_demand_shift_pctpts,capacity_max_impacted_mean_cash_election_%,capacity_max_baseline_realized_return_%,capacity_max_baseline_realized_pnl,capacity_max_self_impact_realized_return_%,capacity_max_self_impact_realized_pnl,capacity_optimal_binding_constraint,capacity_optimal_source_mix,capacity_optimal_seller_cash_prob,capacity_optimal_own_cash_prob,capacity_optimal_lender_cash_prob,capacity_optimal_buyer_cash_prob,capacity_optimal_shares,capacity_optimal_notional,capacity_optimal_pct_shares_outstanding,capacity_optimal_E_return_%,capacity_optimal_downside_5%_%,capacity_optimal_loss_probability_%,capacity_optimal_expected_pnl,capacity_optimal_cash_demand_shift_pctpts,capacity_optimal_impacted_mean_cash_election_%,capacity_optimal_baseline_realized_return_%,capacity_optimal_baseline_realized_pnl,capacity_optimal_self_impact_realized_return_%,capacity_optimal_self_impact_realized_pnl,capacity_shares,capacity_notional,capacity_pct_shares_outstanding,capacity_max_raw_pct_shares_outstanding,capacity_adv20,capacity_shares_outstanding,capacity_passive_share_%,capacity_positive_holder_share_%,capacity_positive_holder_share_of_active_%,capacity_noisy_holder_share_%,capacity_noisy_cash_prob,capacity_holder_model_source,capacity_holder_fit_n,capacity_holder_p_hat,capacity_holder_q_hat,capacity_holder_predicted_cash_demand_%,capacity_holder_rational_action,capacity_positive_sell_rate_%,capacity_seller_cash_prob,capacity_buyer_cash_prob,capacity_lender_cash_prob,capacity_own_cash_prob,capacity_cash_demand_shift_pctpts,capacity_impacted_mean_cash_election_%,capacity_election_impact_used_in_payoff,capacity_adjusted_E_return_%,capacity_adjusted_downside_5%_%,capacity_adjusted_loss_probability_%,capacity_alpha_decay_%,capacity_adjusted_realized_return_%,capacity_baseline_realized_return_%,capacity_baseline_realized_pnl,capacity_self_impact_realized_return_%,capacity_self_impact_realized_pnl,self_impact_can_eliminate_arbitrage,self_impact_break_even_pct_shares_outstanding,self_impact_proof_note
E000129_20191001_Altera_Infrastructure_LP__Brookfield_Business_Partners_LP,Altera Infrastructure LP,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,1.54,30.82,26.08,1901.12,1593.22,mean,1593.22,-25.32,-27.56,16.07,30.82,1593.22,-25.32,16.07,20.13,-1207.14,-1016.0,-1207.14,84.52,0.8408,0.1224,0.0368,external_outcome_probabilities_explicit_three_state,-25.32,-35.0,1.15,1.0,SHORT_ACQUIRER,0.788,0.788,0.5,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,NYSE Euronext,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,31.92,105.73,93.09,231.23,191.63,mean,191.63,-26.28,-28.28,15.31,105.73,191.63,-26.28,15.31,79.06,-147.68,-119.78,-147.68,84.15,0.8462,0.1184,0.0354,external_outcome_probabilities_explicit_three_state,-26.28,-35.0,23.53,20.75,SHORT_ACQUIRER,0.79,0.79,0.5,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000241_20120604_First_Trust_Bank__BNC_Bancorp,First Trust Bank,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,CASH,31.5,3.7,6.4,-84.36,79.67,mean,79.67,25.0,25.0,0.0,4.93,-76.32,-88.12,100.0,3.7,88.25,79.67,25.0,0.0,0.8597,0.1059,0.0344,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,23.62,20.48,LONG_ACQUIRER,0.305,0.135,0.305,0.0,completed,completed_status_no_realized_f_cash,88.25,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000022_20140713_URS_Corp__AECOM,URS Corp,REVIEW,abs_completion_or_election_return_above_30pct,REVIEW,CASH,58.85,30.13,32.02,-44.96,45.59,mean,45.59,25.0,25.0,0.0,32.39,-42.21,-48.43,100.0,30.13,48.8,45.59,25.0,0.0,0.8489,0.1153,0.0358,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,44.14,38.25,LONG_ACQUIRER,0.301,0.064,0.301,0.0,completed,completed_status_no_realized_f_cash,48.8,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000060_20070627_Chittenden_Corp__People_s_United_Financial_Inc,Chittenden Corp,REVIEW,abs_completion_or_election_return_above_30pct,REVIEW,CASH,35.25,18.12,19.24,-43.96,45.42,mean,45.42,25.0,25.0,0.0,19.75,-41.52,-48.29,100.0,18.12,48.59,45.42,25.0,0.0,0.8545,0.1112,0.0343,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,26.44,22.91,LONG_ACQUIRER,0.439,0.117,0.439,0.0,completed,realized_f_cash,48.59,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000135_20090908_Intellon_Corp__Qualcomm_Atheros_Inc,Intellon Corp,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,7.12,11.08,10.18,55.59,42.98,mean,42.98,-30.06,-31.22,14.52,11.08,42.98,-30.06,14.52,9.57,-34.41,-24.65,-34.41,85.12,0.8534,0.1122,0.0344,external_outcome_probabilities_explicit_three_state,-30.06,-35.0,4.98,4.63,SHORT_ACQUIRER,0.2,0.2,0.12,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000063_20160411_Hatteras_Financial_Corp__Annaly_Capital_Management_Inc,Hatteras Financial Corp,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,15.9,8.64,9.07,-38.53,42.96,mean,42.96,25.0,25.0,0.0,9.77,-36.92,-45.47,100.0,8.64,45.68,42.96,25.0,0.0,0.8527,0.1113,0.0359,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,11.92,10.34,LONG_ACQUIRER,0.643,0.88,0.643,0.0,completed,completed_status_no_realized_f_cash,45.68,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000040_20170504_Capital_Bank_Financial_Corp__First_Horizon_Corp,Capital Bank Financial Cor,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,38.95,23.56,24.22,-16.17,37.82,mean,37.82,25.0,25.0,0.0,32.65,-17.81,-39.08,64.71,23.56,39.5,37.82,25.0,0.0,0.8573,0.1067,0.0359,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,29.21,25.32,LONG_ACQUIRER,1.087,1.717,1.087,0.0,completed,completed_status_no_realized_f_cash,39.5,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000048_20071207_Rovi_Guides_Inc__Rovi_Corp,Rovi Guides Inc,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,CASH,4.45,6.2,5.75,39.31,29.18,mean,29.18,-25.0,-27.3,15.2,6.2,29.18,-25.0,15.2,5.68,-27.73,-19.33,-27.73,84.69,0.8476,0.118,0.0344,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,3.34,2.89,SHORT_ACQUIRER,0.025,0.025,0.112,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000042_20140113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,Foster Wheeler AG,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,30.83,21.87,21.95,-18.02,28.79,mean,28.79,25.0,25.0,0.0,25.27,-19.88,-35.0,100.0,21.87,29.06,28.79,25.0,0.0,0.8064,0.1418,0.0517,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,23.12,20.04,LONG_ACQUIRER,0.45,0.711,0.45,0.0,completed,realized_f_cash,29.06,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
