event_id,target,signal,selected_strategy,signal_reason,elect,E_return_%,downside_5%_%,loss_probability_%,realized_return_%,p_completed,p_terminated,p_withdrawn,hedge_side,hedge_ratio,capacity_optimal_notional,capacity_optimal_expected_pnl,capacity_adjusted_E_return_%,capacity_adjusted_realized_return_%
E000129_20191001_Altera_Infrastructure_LP__Brookfield_Business_Partners_LP,Altera Infrastructure LP,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,1593.22,-25.32,16.07,,0.8408,0.1224,0.0368,SHORT_ACQUIRER,0.788,,,,
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,NYSE Euronext,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,191.63,-26.28,15.31,,0.8462,0.1184,0.0354,SHORT_ACQUIRER,0.79,,,,
E000241_20120604_First_Trust_Bank__BNC_Bancorp,First Trust Bank,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,CASH,79.67,25.0,0.0,88.25,0.8597,0.1059,0.0344,LONG_ACQUIRER,0.305,,,,
E000022_20140713_URS_Corp__AECOM,URS Corp,REVIEW,REVIEW,abs_completion_or_election_return_above_30pct,CASH,45.59,25.0,0.0,48.8,0.8489,0.1153,0.0358,LONG_ACQUIRER,0.301,,,,
E000060_20070627_Chittenden_Corp__People_s_United_Financial_Inc,Chittenden Corp,REVIEW,REVIEW,abs_completion_or_election_return_above_30pct,CASH,45.42,25.0,0.0,48.59,0.8545,0.1112,0.0343,LONG_ACQUIRER,0.439,,,,
E000135_20090908_Intellon_Corp__Qualcomm_Atheros_Inc,Intellon Corp,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,42.98,-30.06,14.52,,0.8534,0.1122,0.0344,SHORT_ACQUIRER,0.2,,,,
E000063_20160411_Hatteras_Financial_Corp__Annaly_Capital_Management_Inc,Hatteras Financial Corp,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,42.96,25.0,0.0,45.68,0.8527,0.1113,0.0359,LONG_ACQUIRER,0.643,,,,
E000040_20170504_Capital_Bank_Financial_Corp__First_Horizon_Corp,Capital Bank Financial Cor,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,37.82,25.0,0.0,39.5,0.8573,0.1067,0.0359,LONG_ACQUIRER,1.087,,,,
E000048_20071207_Rovi_Guides_Inc__Rovi_Corp,Rovi Guides Inc,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,CASH,29.18,-25.0,15.2,,0.8476,0.118,0.0344,SHORT_ACQUIRER,0.025,,,,
E000042_20140113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,Foster Wheeler AG,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,28.79,25.0,0.0,29.06,0.8064,0.1418,0.0517,LONG_ACQUIRER,0.45,,,,
E000238_20070201_ICNB_Financial_Corp__Firstbank_Corp,ICNB Financial Corp,REVIEW,REVIEW,abs_completion_or_election_return_above_30pct,CASH,28.27,-25.0,14.51,,0.8581,0.1077,0.0343,SHORT_ACQUIRER,0.186,,,,
E000075_20200806_Sirius_International_Insurance_Group_Ltd__SiriusPoint_Ltd,Sirius International Insur,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,CASH,28.16,26.46,0.0,26.46,0.838,0.1143,0.0477,LONG_ACQUIRER,0.371,35214939.637,9917379.9009,28.1624,26.4613
E000278_20090421_Endocare_Inc__HealthTronics_Inc,Endocare Inc,REVIEW,REVIEW,abs_completion_or_election_return_above_30pct,CASH,26.15,-28.87,14.06,,0.8589,0.1068,0.0343,SHORT_ACQUIRER,0.103,,,,
E000014_20110616_Southern_Union_Co__Energy_Transfer_LP,Southern Union Co,REVIEW,REVIEW,abs_completion_or_election_return_above_30pct,STOCK,25.49,-25.0,15.48,36.03,0.846,0.119,0.0351,SHORT_ACQUIRER,0.708,,,,
E000026_20180502_MTGE_Investment_Corp__Annaly_Capital_Management_Inc,MTGE Investment Corp,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,CASH,25.42,25.0,0.0,25.05,0.8504,0.1116,0.038,LONG_ACQUIRER,0.476,,,,
E000051_20140312_EPL_Oil___Gas_Inc__Energy_XXI_Ltd,EPL Oil & Gas Inc,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,CASH,22.34,21.37,0.0,21.37,0.8427,0.1206,0.0368,LONG_ACQUIRER,0.204,,,,
E000041_20181009_Antero_Midstream_Partners_LP__Antero_Midstream_Corp,Antero Midstream Partners ,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,STOCK,21.97,-25.0,38.95,8.55,0.8398,0.119,0.0412,SHORT_ACQUIRER,1.294,,,,
E000145_20070516_East_Penn_Financial_Corp__Harleysville_National_Corp,East Penn Financial Corp,REVIEW,REVIEW,implausible_cash_vs_stock_term_gap,CASH,21.15,17.61,0.0,17.61,0.8574,0.1083,0.0343,LONG_ACQUIRER,0.151,,,,
