metric,value
trade_count,20.0
enter_count,10.0
reverse_count,10.0
optimal_notional,621395090.5957
optimal_expected_pnl,39901426.3875
optimal_weighted_expected_return_%,6.421265148594676
realized_covered_trade_count,16.0
realized_self_impact_pnl,16955976.7313
realized_return_on_deployed_%,2.9445590128611916
expected_vs_realized_corr,0.7777075801513627
completion_only_mean_return_%,6.41
completion_only_median_return_%,2.52
completion_only_mean_to_std,0.83
completion_only_sortino_0pct_mar,
completion_only_ex_top_mean_return_%,5.07
completion_only_negative_trade_count,0.0
completion_only_history_trade_count,18.0
completion_only_active_day_sharpe,1.0772760752065411
completion_only_calendar_day_sharpe,0.4468433169567082
all_tradable_history_trade_count,18.0
all_tradable_active_day_sharpe,1.0772760752065411
all_tradable_calendar_day_sharpe,0.4468433169567082
