event_id,pct_elected_cash,pct_elected_stock,pct_received_cash,cash_proration_factor,aggregate_cash_usd,shares_base,disclosure_type,basis,notes
E000001_20220526_VMware_Inc__Broadcom_Inc,,96.0,47.9,,30788000000.0,,received_or_allocated,direct,96% elected stock (direct); post-proration 47.9% cash / 52.1% stock; pure cash-election % not separately disclosed since 4% figure mixes cash elections and non-elections.
E000002_20091103_Burlington_Northern_Santa_Fe_LLC__Berkshire_Hathaway_Inc,40.85,43.36,,0.9225,15870000000.0,264507424.0,elected_pct,direct,"Direct election percentages stated (40.85% cash, 43.36% stock); stock electors received ~92.25% stock fill (proration factor) with remainder cash, and aggregate cash paid ~$15.87B disclosed."
E000003_20150528_Broadcom_Corp__Avago_Technologies_Ltd,30.6,38.6,,,,616426074.0,elected_pct,direct,Percentages for cash and stock elections (excluding deemed-cash non-electors) are directly stated; proration mix per share disclosed but no explicit received-cash percentage or numeric proration factor.
E000004_20180430_Andeavor__Marathon_Petroleum_Corp,,,,,3500000000.0,,dollars_only,not_found,"Only aggregate cash paid (~$3.5B) and aggregate MPC shares issued (~240M) are disclosed as preliminary proration outcomes; no explicit election or received percentages or a stated share base are given, so percentages cannot be reliably derived."
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,1.1,55.8,,,,638268249.0,elected_shares_derived,derived,"Percentages derived from disclosed share counts (7,104,694 cash-electing, 356,053,060 stock-electing, 275,110,495 non-electing) over a 638,268,249-share base; final proration/allocation results were not available in the supplied evidence."
E000006_20190624_Caesars_Holdings_Inc__Caesars_Entertainment_Inc,,,,,,,parse_error,,
E000008_20230412_Triton_International_Ltd_Bermuda__Brookfield_Infrastructure_Corp,,,,,3770000000.0,,dollars_only,direct,Only aggregate cash ($3.77B) and BIPC shares (21.45M) paid are disclosed; no election percentages or proration factor were reported.
E000009_20220504_Black_Knight_Inc__Intercontinental_Exchange_Inc,39.0,34.0,,,10505000000.0,154027505.0,elected_pct,direct,"Preliminary election results show ~39% cash and ~34% stock elections of 154,027,505 shares; stock pool was oversubscribed (stock electors to get ~68% cash/32% stock), but no final post-guaranteed-delivery proration figures were provided."
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,,,,,,,oversubscribed_qualitative,not_found,"Only qualitative oversubscription of the stock election and its resulting share/cash blend are disclosed; no isolated cash-election share count, percentage, or dollar figure is provided."
E000011_20090420_Pepsi_Bottling_Group_Inc_The__PepsiCo_Inc,1.1,98.9,,1.0,,153023394.0,elected_pct,direct,"Cash elections (~1.1%) were fully funded with no proration; non-electing shares (~98.9%) were subsequently reallocated so that ~49.4% received cash and ~50.6% received stock, but an explicit overall 'received cash' percentage was not separately disclosed."
E000012_20131023_Cole_Real_Estate_Investment_Inc__VEREIT_Inc,2.0,54.0,,,,476626612.0,elected_pct,direct,"Preliminary election results show ~2% cash election and ~54% affirmative stock election (with ~44% deemed stock via non-election); cash was undersubscribed relative to the 20% cap, and no confirmed proration factor or final post-proration outcome was disclosed."
E000013_20070216_BBVA_USA_Bancshares_Inc__Banco_Bilbao_Vizcaya_Argentaria_SA,,,,0.6,,,proration_factor_only,direct,"Preliminary Sept 6, 2007 results show a ~60% cash fill rate (proration factor) on valid cash elections, with no overall elected/received percentages or total share base disclosed."
E000014_20110616_Southern_Union_Co__Energy_Transfer_LP,54.0,46.0,54.0,,,124967789.0,elected_pct,direct,"Final results show 54% of shares elected cash and 46% elected/deemed equity, both within caps so no proration factor was applied."
E000015_20171030_CalAtlantic_Group_Inc_old__Lennar_Corp,20.73,79.27,20.73,1.0,1162250000.0,116190069.0,elected_shares_derived,derived,"Cash elections (affirmative + deemed via MP CA Homes agreement) exactly reached the 24,083,091-share cap out of 116,190,069 total shares, so no proration was needed and all electing holders received full cash."
