event_id,pct_elected_cash,pct_elected_stock,cash_prose
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,,,None
E000022_20140713_URS_Corp__AECOM,,,None
E000024_20161117_Western_Refining_Inc__Andeavor,,,None
E000038_20100415_Mariner_Energy_Inc__Apache_Corp,,,None
E000040_20170504_Capital_Bank_Financial_Corp__First_Horizon_Corp,,,None
E000044_20060905_Veritas_DGC_Inc__Viridien,,,None
E000046_20140321_LIN_Media_LLC__Media_General_Inc,,,None
E000065_20101217_Cumulus_Intermediate_Holdings_LLC__Cumulus_Media_Inc,,,None
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,,,None
E000072_20070214_TALX_Corp__Equifax_Inc,,,None
E000088_20160825_AEP_Industries_Inc__Berry_Global_Group_Inc,,,None
E000107_20210622_County_Bancorp_Inc__Nicolet_Bankshares_Inc,,,None
E000121_20070129_Premier_Community_Bankshares_Inc__United_Bankshares_Inc_WV,,,None
E000131_20170501_ASB_Bancorp_Inc__First_Bancorp_Southern_Pines_NC,,,None
E000137_20070910_Great_Lakes_Bancorp_Inc__First_Niagara_Financial_Group_Inc,,,None
E000145_20070516_East_Penn_Financial_Corp__Harleysville_National_Corp,,,None
E000151_20120531_Beacon_Federal_Bancorp_Inc__Beacon_Financial_Corp,,,None
E000153_20190816_Bancorp_of_New_Jersey_Inc__ConnectOne_Bancorp_Inc,,,None
E000180_20191218_MSB_Financial_Corp_MD__Kearny_Financial_Corp_MD,,,None
E000185_20080903_Lincoln_Bancorp_IN__First_Merchants_Corp,,,None
E000199_20130129_Somerset_Hills_Bancorp__Lakeland_Bancorp_Inc,,,None
E000231_20160601_First_Century_Bankshares_Inc__Summit_Financial_Group_Inc,,,None
E000259_20120503_Alliance_Bankshares_Corp__WashingtonFirst_Bankshares_Inc,20.0,,"More than 20% of Alliance's 5,109,969 outstanding shares (i.e., more than 1,021,993 shares) elected cash; exac"
E000282_20121228_Roebling_Financial_Corp_Inc__TF_Financial_Corp,,,None
E000300_20190514_Virginia_Community_Bankshares_Inc__Blue_Ridge_Bankshares_Inc,,,None
E000314_20251010_SWK_Holdings_Corp__Runway_Growth_Finance_Corp,,,None
