event_id,target_name,acquirer_name,docs_pulled,unique_filings,sides,top_forms,date_min,date_max,docs_to_claude
E000000_20171214_TFCF_Corp__Walt_Disney_Co_The,TFCF Corp,Walt Disney Co/The,324,24,acquirer,"8-K×254, S-4×31, 424B3×12, S-4/A×10",2018-06-25,2019-11-25,10
E000001_20220526_VMware_Inc__Broadcom_Inc,VMware Inc,Broadcom Inc,572,89,"acquirer,target","425×268, 8-K×227, DEFA14A×48, S-4/A×11",2022-03-31,2024-04-24,10
E000002_20091103_Burlington_Northern_Santa_Fe_LLC__Berkshire_Hathaway_Inc,Burlington Northern Santa Fe LLC,Berkshire Hathaway Inc,535,96,"acquirer,target","8-K×213, 425×152, S-4/A×53, 424B2×52",2009-09-10,2011-09-26,10
E000003_20150528_Broadcom_Corp__Avago_Technologies_Ltd,Broadcom Corp,Avago Technologies Ltd,477,75,"acquirer,target","425×258, 8-K×180, SC TO-T×11, SC TO-T/A×9",2015-04-07,2016-02-02,10
E000004_20180430_Andeavor__Marathon_Petroleum_Corp,Andeavor,Marathon Petroleum Corp,606,106,"acquirer,target","425×295, 8-K×200, DEFA14A×63, S-4/A×25",2018-03-15,2020-04-27,10
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,Johnson Controls Inc,Johnson Controls International plc,854,109,"acquirer,target","8-K×514, 425×282, 424B5×24, S-4×18",2015-12-01,2018-01-19,10
E000006_20190624_Caesars_Holdings_Inc__Caesars_Entertainment_Inc,Caesars Holdings Inc,Caesars Entertainment Inc,696,108,"acquirer,target","8-K×491, 425×97, DEFA14A×28, 8-K/A×24",2019-04-26,2021-06-21,10
E000007_20260419_TopBuild_Corp__QXO_Inc,TopBuild Corp,QXO Inc,386,54,"acquirer,target","8-K×216, 425×110, S-4×22, S-4/A×14",2026-02-25,2026-07-09,10
E000008_20230412_Triton_International_Ltd_Bermuda__Brookfield_Infrastructure_Corp,Triton International Ltd/Bermuda,Brookfield Infrastructure Corp,196,38,"acquirer,target","8-K×107, 425×48, F-4/A×14, 424B5×8",2023-02-14,2025-01-31,10
E000009_20220504_Black_Knight_Inc__Intercontinental_Exchange_Inc,Black Knight Inc,Intercontinental Exchange Inc,609,105,"acquirer,target","8-K×329, 425×200, DEFA14A×28, S-4/A×17",2022-03-17,2024-05-03,10
E000010_20121220_NYSE_Euronext__Intercontinental_Exchange_Inc,NYSE Euronext,Intercontinental Exchange Inc,444,89,"acquirer,target","425×184, 8-K×181, S-4/A×28, S-4×14",2012-11-06,2014-11-04,10
E000011_20090420_Pepsi_Bottling_Group_Inc_The__PepsiCo_Inc,Pepsi Bottling Group Inc/The,PepsiCo Inc,552,115,"acquirer,target","8-K×257, 425×218, DEFA14A×16, SC 13E3/A×16",2009-02-19,2011-04-08,10
E000012_20131023_Cole_Real_Estate_Investment_Inc__VEREIT_Inc,Cole Real Estate Investment Inc,VEREIT Inc,603,104,"acquirer,target","8-K×321, 425×176, DEFA14A×36, S-4/A×33",2013-08-27,2015-10-01,10
E000013_20070216_BBVA_USA_Bancshares_Inc__Banco_Bilbao_Vizcaya_Argentaria_SA,BBVA USA Bancshares Inc,Banco Bilbao Vizcaya Argentaria SA,215,42,acquirer,"425×132, F-4/A×54, F-4×21, 424B3×8",2007-02-16,2008-03-13,10
E000014_20110616_Southern_Union_Co__Energy_Transfer_LP,Southern Union Co,Energy Transfer LP,706,105,"acquirer,target","8-K×369, 425×307, S-4×11, 8-K/A×10",2011-04-22,2013-05-08,10
E000015_20171030_CalAtlantic_Group_Inc_old__Lennar_Corp,CalAtlantic Group Inc/old,Lennar Corp,455,67,"acquirer,target","8-K×214, 425×70, S-4×61, 424B3×28",2017-09-14,2019-10-02,10
E000016_20110720_Nalco_Holding_Co__Ecolab_Inc,Nalco Holding Co,Ecolab Inc,556,104,"acquirer,target","425×309, 8-K×209, 424B5×16, S-4×10",2011-06-28,2013-05-03,9
E000017_20211214_Terminix_Global_Holdings_Inc__Rentokil_Initial_PLC,Terminix Global Holdings Inc,Rentokil Initial PLC,429,61,"acquirer,target","425×281, 8-K×74, F-4/A×34, F-4×28",2021-11-02,2022-10-12,10
E000018_20080317_NYMEX_Holdings_Inc__CME_Group_Inc,NYMEX Holdings Inc,CME Group Inc,540,108,"acquirer,target","8-K×242, 425×143, DEFA14A×135, S-4×12",2008-01-28,2010-03-10,10
E000019_20120430_ETC_Sunoco_Holdings_LLC__ETP_Legacy_LP,ETC Sunoco Holdings LLC,ETP Legacy LP,97,18,target,"8-K×93, 424B4×4",2012-09-21,2014-04-15,10
E000020_20230306_Energy_Harbor_Corp__Vistra_Corp,Energy Harbor Corp,Vistra Corp,312,49,acquirer,"8-K×304, 8-K/A×8",2023-02-01,2025-02-27,10
E000021_20080612_Applied_Biosystems_Inc__Life_Technologies_Corp,Applied Biosystems Inc,Life Technologies Corp,573,104,"acquirer,target","8-K×220, 425×199, DEFA14A×100, 8-K/A×19",2008-04-21,2010-06-01,10
E000022_20140713_URS_Corp__AECOM,URS Corp,AECOM,530,60,"acquirer,target","8-K×268, S-4×131, 425×91, S-4/A×28",2014-06-18,2016-06-01,10
E000023_20070501_Dow_Jones___Co_Inc__TFCF_Corp,Dow Jones & Co Inc,TFCF Corp,164,33,target,"8-K×88, DEFA14A×40, 425×16, 8-K/A×12",2007-03-02,2007-12-07,8
